French,English,Rank
partie,part,1
histoire,history,1
chercher,search,2
seulement,only,1
police,police,1
pensais,thought,2
aide,help,1
demande,request,1
genre,kind,1
mois,month,1
frère,brother,3
laisser,let,1
car,because,1
mettre,to put,1
aucun,no,2
laisse,leash,1
eux,them,1
ville,city,1
chaque,each,2
parlé,speak,2
arrivé,come,2
devrait,should,1
bébé,baby,2
longtemps,long time,1
heures,hours,2
vont,will,1
pendant,while,1
revoir,meet again,1
aucune,any,1
place,square,1
parle,speak,1
compris,understood,2
savais,knew,1
étaient,were,1
attention,Warning,1
voici,here is,1
pourrais,could,1
affaire,case,1
donner,give,2
type,type,1
leurs,their,1
donné,given,1
train,train,1
corps,body,1
endroit,place,1
yeux,eyes,1
façon,way,2
écoute,listen,2
dont,whose,1
trouve,find,2
premier,first,1
perdu,lost,2
main,hand,2
première,first,2
côté,side,2
pouvoir,power,1
vieux,old,1
sois,be,1
tiens,here,1
matin,morning,1
tellement,so much,1
enfant,child,1
point,point,1
venu,came,1
suite,after,1
pardon,sorry,1
venez,come,2
devant,in front of,1
vers,towards,1
minutes,minutes,1
demandé,request,1
chambre,bedroom,1
mis,placed,2
belle,beautiful,1
droit,law,1
aimerais,would like to,2
aujourd'hui,today,1
mari,husband,1
cause,cause,1
enfin,finally,2
espère,hope,1
eau,water,1
attendez,Wait,1
parti,left,1
nouvelle,new,1
boulot,job,1
arrêter,Stop,1
dirait,would say,1
terre,Earth,1
compte,account,1
donne,given,1
loin,far,1
fin,end,1
croire,believe,1
chérie,sweetheart,1
gros,large,2
plutôt,rather,1
aura,will have,1
filles,girls,1
jouer,to play,2
bureau,office,1
